,Unnamed: 0,Method,$\epsilon$,MMD
145,45,ABC-RS (ours),0%,0.0131646025167152
146,46,ABC-RS (ours),0%,0.0115903445236279
147,47,ABC-RS (ours),0%,0.0361405144657858
148,48,ABC-RS (ours),0%,0.0277399814244032
149,49,ABC-RS (ours),0%,0.0215209549525496
150,50,ABC-RS (ours),0%,0.0188406215033988
151,51,ABC-RS (ours),0%,0.0202606149621226
152,52,ABC-RS (ours),0%,0.0080467991019401
153,53,ABC-RS (ours),0%,0.0434565811104047
154,54,ABC-RS (ours),0%,0.0336266757958308
155,55,ABC-RS (ours),0%,0.0201371506974848
156,56,ABC-RS (ours),0%,0.0466731901474696
157,57,ABC-RS (ours),0%,0.0079933892472409
158,58,ABC-RS (ours),0%,0.0232006499768567
159,59,ABC-RS (ours),0%,0.0110700800292387
160,60,ABC-RS (ours),0%,0.0193025161995327
161,61,ABC-RS (ours),0%,0.0159996683590357
162,62,ABC-RS (ours),0%,0.009440728771053
163,63,ABC-RS (ours),0%,0.0135915360998715
164,64,ABC-RS (ours),0%,0.0232549439440705
165,65,ABC-RS (ours),0%,0.0170308658917512
166,66,ABC-RS (ours),0%,0.0268115401085062
167,67,ABC-RS (ours),0%,0.015312889936911
168,68,ABC-RS (ours),0%,0.0108655802400868
169,69,ABC-RS (ours),0%,0.0522048397763499
170,70,ABC-RS (ours),0%,0.0089513795544921
171,71,ABC-RS (ours),0%,0.0567214675214795
172,72,ABC-RS (ours),0%,0.0134289976288659
173,73,ABC-RS (ours),0%,0.0162335260065774
174,74,ABC-RS (ours),0%,0.0155942312286251
175,75,ABC-RS (ours),0%,0.056959674906216
176,76,ABC-RS (ours),0%,0.015280107570831
177,77,ABC-RS (ours),0%,0.0349763853687393
178,78,ABC-RS (ours),0%,0.0810635011247662
179,79,ABC-RS (ours),0%,0.1563569580184182
180,80,ABC-RS (ours),0%,0.0177790560274218
181,81,ABC-RS (ours),0%,0.0146061575723117
182,82,ABC-RS (ours),0%,0.0164759582197676
183,83,ABC-RS (ours),0%,0.0049146388736054
184,84,ABC-RS (ours),0%,0.0211829126090049
185,85,ABC-RS (ours),0%,0.0129596877629911
186,86,ABC-RS (ours),0%,0.0092588879950124
187,87,ABC-RS (ours),0%,0.0044845260682898
188,88,ABC-RS (ours),0%,0.0105211251770418
189,89,ABC-RS (ours),0%,0.007789197995025
190,90,ABC-RS (ours),0%,0.014827842880596
191,91,ABC-RS (ours),0%,0.0733619376334506
192,92,ABC-RS (ours),0%,0.0188556797424254
193,93,ABC-RS (ours),0%,0.0420171658896104
194,94,ABC-RS (ours),0%,0.026708074854254
195,95,ABC-RS (ours),0%,0.0520623766078114
196,96,ABC-RS (ours),0%,0.0121734215106863
197,97,ABC-RS (ours),0%,0.0188355629887297
198,98,ABC-RS (ours),0%,0.0115486954224832
199,99,ABC-RS (ours),0%,0.0170619300293832
200,0,ABC,10%,1.0490103510813087
201,1,ABC,10%,1.0810171628254872
202,2,ABC,10%,0.8015460978802049
203,3,ABC,10%,0.3434590010874697
204,4,ABC,10%,0.8858377753604177
205,5,ABC,10%,1.2033153125810314
206,6,ABC,10%,1.159984716426418
207,7,ABC,10%,1.1473117529656776
208,8,ABC,10%,0.8901140082070026
209,9,ABC,10%,0.9578277803331658
210,10,ABC,10%,0.9166505349261996
211,11,ABC,10%,0.5107897193339939
212,12,ABC,10%,1.1203670772733076
213,13,ABC,10%,0.9236654315631744
214,14,ABC,10%,1.0265505761090248
215,15,ABC,10%,0.951687157240219
216,16,ABC,10%,0.9777313415507212
217,17,ABC,10%,1.073050336111626
218,18,ABC,10%,0.7012422757092569
219,19,ABC,10%,0.5305006533984337
220,20,ABC,10%,1.0014983712628576
221,21,ABC,10%,1.0424539860808262
222,22,ABC,10%,1.037677232077189
223,23,ABC,10%,0.8887013071870395
224,24,ABC,10%,0.9643011661224444
225,25,ABC,10%,1.0405472880940168
226,26,ABC,10%,1.0429288374145225
227,27,ABC,10%,0.9095335047640032
228,28,ABC,10%,0.9604154502789152
229,29,ABC,10%,0.496303717013518
230,30,ABC,10%,1.001870119158583
231,31,ABC,10%,1.164905103577074
232,32,ABC,10%,0.9222740646423816
233,33,ABC,10%,0.7201277884619411
234,34,ABC,10%,0.9020703287669656
235,35,ABC,10%,0.698430327213374
236,36,ABC,10%,0.824999875262669
237,37,ABC,10%,0.4983149365477526
238,38,ABC,10%,0.3475742198365699
239,39,ABC,10%,0.756912543776891
240,40,ABC,10%,1.080508881488402
241,41,ABC,10%,1.1385423650585014
242,42,ABC,10%,0.8616046914785754
243,43,ABC,10%,0.8786533862408618
244,44,ABC,10%,0.9304265168535412
245,45,ABC,10%,1.170268855248888
246,46,ABC,10%,0.6791242536587092
247,47,ABC,10%,1.0826135837936586
248,48,ABC,10%,1.0268955610488424
249,49,ABC,10%,1.107853642412525
250,50,ABC,10%,0.5283679575183786
251,51,ABC,10%,1.050773669720451
252,52,ABC,10%,1.0068623016406826
253,53,ABC,10%,0.6564775849892174
254,54,ABC,10%,1.1626504544154677
255,55,ABC,10%,1.024683810963004
256,56,ABC,10%,0.9697596682781466
257,57,ABC,10%,0.8741355944528668
258,58,ABC,10%,1.0507397971135533
259,59,ABC,10%,0.5409667414153192
260,60,ABC,10%,0.4672130340101533
261,61,ABC,10%,0.6886593312207511
262,62,ABC,10%,0.926339810694966
263,63,ABC,10%,0.7554687912093437
264,64,ABC,10%,1.0416497691408049
265,65,ABC,10%,0.9742104494851622
266,66,ABC,10%,1.0669802708950993
267,67,ABC,10%,1.1199140563241845
268,68,ABC,10%,1.1469551502475834
269,69,ABC,10%,0.7059282582934376
270,70,ABC,10%,1.081831025369098
271,71,ABC,10%,1.032851918063543
272,72,ABC,10%,0.8477739934469448
273,73,ABC,10%,0.6517324427532305
274,74,ABC,10%,1.025765486135283
275,75,ABC,10%,1.060911541414729
276,76,ABC,10%,1.082400370747998
277,77,ABC,10%,1.0920829777594898
278,78,ABC,10%,1.0481492131134795
279,79,ABC,10%,0.9464824293036402
280,80,ABC,10%,0.9991480649599708
281,81,ABC,10%,1.034246736173264
282,82,ABC,10%,0.6034339327107349
283,83,ABC,10%,0.9793788354201262
284,84,ABC,10%,0.4806116692478688
285,85,ABC,10%,0.9379616485017652
286,86,ABC,10%,0.5797222806930846
287,87,ABC,10%,1.0591951733963725
288,88,ABC,10%,0.7536842879218185
289,89,ABC,10%,0.5941256211375177
290,90,ABC,10%,1.152103119460085
291,91,ABC,10%,1.0851484560381512
292,92,ABC,10%,0.9807094532953884
293,93,ABC,10%,1.0808280741671392
294,94,ABC,10%,1.0626553026158223
295,95,ABC,10%,1.0040635135187284
296,96,ABC,10%,0.8115351365379387
297,97,ABC,10%,1.1507067338570334
298,98,ABC,10%,0.9396190314437408
299,99,ABC,10%,1.0964869235157408
300,0,ABC-RS (ours),10%,0.0840354809730369
301,1,ABC-RS (ours),10%,0.2493128209665007
302,2,ABC-RS (ours),10%,0.2680138953264871
303,3,ABC-RS (ours),10%,0.1924910135337069
304,4,ABC-RS (ours),10%,0.3930774419897649
305,5,ABC-RS (ours),10%,0.1730172055664722
306,6,ABC-RS (ours),10%,0.2709006093839361
307,7,ABC-RS (ours),10%,0.250201872332879
308,8,ABC-RS (ours),10%,0.2013995641963979
309,9,ABC-RS (ours),10%,0.3764101293683123
310,10,ABC-RS (ours),10%,0.1690810127878952
311,11,ABC-RS (ours),10%,0.241579614754713
312,12,ABC-RS (ours),10%,0.0970520229779493
313,13,ABC-RS (ours),10%,0.1566174712918421
