,Unnamed: 0,Method,$\epsilon$,RMSE
111,11,ABC-RS (ours),$\epsilon$=0%,0.470446443934072
112,12,ABC-RS (ours),$\epsilon$=0%,0.4542177494426097
113,13,ABC-RS (ours),$\epsilon$=0%,0.4521237934322828
114,14,ABC-RS (ours),$\epsilon$=0%,0.547952796453579
115,15,ABC-RS (ours),$\epsilon$=0%,0.4479451468571773
116,16,ABC-RS (ours),$\epsilon$=0%,0.4026623324714564
117,17,ABC-RS (ours),$\epsilon$=0%,0.4646511230255642
118,18,ABC-RS (ours),$\epsilon$=0%,0.384234165049679
119,19,ABC-RS (ours),$\epsilon$=0%,0.4356570277516087
120,20,ABC-RS (ours),$\epsilon$=0%,0.5055941414876413
121,21,ABC-RS (ours),$\epsilon$=0%,0.4700693457254948
122,22,ABC-RS (ours),$\epsilon$=0%,0.3898001917139861
123,23,ABC-RS (ours),$\epsilon$=0%,0.4629067263438171
124,24,ABC-RS (ours),$\epsilon$=0%,0.4330084939358534
125,25,ABC-RS (ours),$\epsilon$=0%,0.4392751444333712
126,26,ABC-RS (ours),$\epsilon$=0%,0.4042551788523916
127,27,ABC-RS (ours),$\epsilon$=0%,0.3982821759329465
128,28,ABC-RS (ours),$\epsilon$=0%,0.45490602905085
129,29,ABC-RS (ours),$\epsilon$=0%,0.381503103979479
130,30,ABC-RS (ours),$\epsilon$=0%,0.4869529120798054
131,31,ABC-RS (ours),$\epsilon$=0%,0.4703459338023868
132,32,ABC-RS (ours),$\epsilon$=0%,0.3748971514882391
133,33,ABC-RS (ours),$\epsilon$=0%,0.4254096959718425
134,34,ABC-RS (ours),$\epsilon$=0%,0.4061504751862913
135,35,ABC-RS (ours),$\epsilon$=0%,0.4941714593830363
136,36,ABC-RS (ours),$\epsilon$=0%,0.3657888054380512
137,37,ABC-RS (ours),$\epsilon$=0%,0.4139086284458354
138,38,ABC-RS (ours),$\epsilon$=0%,0.4577526301814605
139,39,ABC-RS (ours),$\epsilon$=0%,0.3857310984483202
140,40,ABC-RS (ours),$\epsilon$=0%,0.3902872826077785
141,41,ABC-RS (ours),$\epsilon$=0%,0.3891183502575098
142,42,ABC-RS (ours),$\epsilon$=0%,0.416310121228553
143,43,ABC-RS (ours),$\epsilon$=0%,0.5098735027347835
144,44,ABC-RS (ours),$\epsilon$=0%,0.4163755160700441
145,45,ABC-RS (ours),$\epsilon$=0%,0.379089093159702
146,46,ABC-RS (ours),$\epsilon$=0%,0.3746172957408193
147,47,ABC-RS (ours),$\epsilon$=0%,0.4724989202199309
148,48,ABC-RS (ours),$\epsilon$=0%,0.4749716176138788
149,49,ABC-RS (ours),$\epsilon$=0%,0.4351435276375823
150,50,ABC-RS (ours),$\epsilon$=0%,0.4605365867688938
151,51,ABC-RS (ours),$\epsilon$=0%,0.3983657670664507
152,52,ABC-RS (ours),$\epsilon$=0%,0.3838975958415958
