,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Method,$\epsilon$,MMD
121,121,121,121,21,RNPE,0%,0.0057146296574017
122,122,122,122,22,RNPE,0%,0.0037969469279915
123,123,123,123,23,RNPE,0%,0.0014357726485302
124,124,124,124,24,RNPE,0%,0.0002338609088822
125,125,125,125,25,RNPE,0%,0.0234806711816918
126,126,126,126,26,RNPE,0%,0.0103853100158662
127,127,127,127,27,RNPE,0%,0.0037910362463625
128,128,128,128,28,RNPE,0%,0.0010290169743639
129,129,129,129,29,RNPE,0%,0.0078721478390884
130,130,130,130,30,RNPE,0%,0.0093259671245282
131,131,131,131,31,RNPE,0%,0.0039542306372081
132,132,132,132,32,RNPE,0%,0.0114729226276647
133,133,133,133,33,RNPE,0%,0.0099652682559422
134,134,134,134,34,RNPE,0%,0.0274579057993273
135,135,135,135,35,RNPE,0%,0.013937522603557
136,136,136,136,36,RNPE,0%,0.0133074912694945
137,137,137,137,37,RNPE,0%,0.0151942021864655
138,138,138,138,38,RNPE,0%,0.0058070135041143
139,139,139,139,39,RNPE,0%,0.002952000863776
140,140,140,140,40,RNPE,0%,0.0051516809119626
141,141,141,141,41,RNPE,0%,0.0070159471795181
142,142,142,142,42,RNPE,0%,0.0068310858190396
143,143,143,143,43,RNPE,0%,0.0237590712523699
144,144,144,144,44,RNPE,0%,0.0183655837729658
145,145,145,145,45,RNPE,0%,0.0050497125138539
146,146,146,146,46,RNPE,0%,0.0149698017205999
147,147,147,147,47,RNPE,0%,0.0263332326274899
148,148,148,148,48,RNPE,0%,0.0044311326411466
149,149,149,149,49,RNPE,0%,0.0236490828344134
150,150,150,150,50,RNPE,0%,0.0280511972437372
151,151,151,151,51,RNPE,0%,0.0093894561702045
152,152,152,152,52,RNPE,0%,0.0150988628155338
153,153,153,153,53,RNPE,0%,0.0244985946766584
154,154,154,154,54,RNPE,0%,0.0087108006961008
155,155,155,155,55,RNPE,0%,0.0067087776068244
156,156,156,156,56,RNPE,0%,0.0053000881739166
157,157,157,157,57,RNPE,0%,0.0040302584790039
158,158,158,158,58,RNPE,0%,0.0073773880058526
159,159,159,159,59,RNPE,0%,0.0143136133724784
160,160,160,160,60,RNPE,0%,0.0033011280539004
161,161,161,161,61,RNPE,0%,0.0040510483494122
162,162,162,162,62,RNPE,0%,0.0117207528729216
163,163,163,163,63,RNPE,0%,0.0018078374635901
164,164,164,164,64,RNPE,0%,0.0143871821766976
165,165,165,165,65,RNPE,0%,0.0181515508014068
166,166,166,166,66,RNPE,0%,0.0134787911139321
167,167,167,167,67,RNPE,0%,0.0144597932760234
168,168,168,168,68,RNPE,0%,0.0134534009224827
169,169,169,169,69,RNPE,0%,0.0146091016454892
170,170,170,170,70,RNPE,0%,0.0108279974882087
171,171,171,171,71,RNPE,0%,0.0091245608260847
172,172,172,172,72,RNPE,0%,0.0084719422055166
173,173,173,173,73,RNPE,0%,0.0054755271697479
174,174,174,174,74,RNPE,0%,0.0081271372076292
175,175,175,175,75,RNPE,0%,0.0031291250023662
176,176,176,176,76,RNPE,0%,0.0105246669947115
177,177,177,177,77,RNPE,0%,0.0347409375852226
178,178,178,178,78,RNPE,0%,0.0565871314531986
179,179,179,179,79,RNPE,0%,0.0078219199604849
180,180,180,180,80,RNPE,0%,0.0053334191750468
181,181,181,181,81,RNPE,0%,0.0071662585842204
182,182,182,182,82,RNPE,0%,0.0089548939379398
183,183,183,183,83,RNPE,0%,0.0054752336844647
184,184,184,184,84,RNPE,0%,0.0022849319436898
185,185,185,185,85,RNPE,0%,0.0054901607099674
186,186,186,186,86,RNPE,0%,0.0031148208624952
187,187,187,187,87,RNPE,0%,0.0064070447570057
188,188,188,188,88,RNPE,0%,0.0026299253693323
189,189,189,189,89,RNPE,0%,0.0073047542823714
190,190,190,190,90,RNPE,0%,0.0564572127368321
191,191,191,191,91,RNPE,0%,0.0324402688469526
192,192,192,192,92,RNPE,0%,0.0202747553812762
193,193,193,193,93,RNPE,0%,0.0198695175294107
194,194,194,194,94,RNPE,0%,0.0263247442626868
195,195,195,195,95,RNPE,0%,0.0043422370644046
196,196,196,196,96,RNPE,0%,0.0180046786690847
197,197,197,197,97,RNPE,0%,0.0121771308308543
198,198,198,198,98,RNPE,0%,0.0045154741462414
199,199,199,199,99,RNPE,0%,0.019400966736924
200,200,200,200,0,NPE-RS (ours),0%,0.2115013514725243
201,201,201,201,1,NPE-RS (ours),0%,0.0002528494098368
202,202,202,202,2,NPE-RS (ours),0%,0.0004264548715582
203,203,203,203,3,NPE-RS (ours),0%,0.0042689580525104
204,204,204,204,4,NPE-RS (ours),0%,0.0006581863042633
205,205,205,205,5,NPE-RS (ours),0%,0.0004266276869153
206,206,206,206,6,NPE-RS (ours),0%,0.0004072736573753
207,207,207,207,7,NPE-RS (ours),0%,0.0013320156240126
208,208,208,208,8,NPE-RS (ours),0%,0.0813363271682894
209,209,209,209,9,NPE-RS (ours),0%,0.0008566868308856
210,210,210,210,10,NPE-RS (ours),0%,0.1961274346208361
211,211,211,211,11,NPE-RS (ours),0%,0.1474215830243547
212,212,212,212,12,NPE-RS (ours),0%,0.0040180735990169
213,213,213,213,13,NPE-RS (ours),0%,0.0021588089795253
214,214,214,214,14,NPE-RS (ours),0%,0.0136580503482637
215,215,215,215,15,NPE-RS (ours),0%,0.001593160464647
216,216,216,216,16,NPE-RS (ours),0%,0.0733322044046086
217,217,217,217,17,NPE-RS (ours),0%,0.0010660864984231
218,218,218,218,18,NPE-RS (ours),0%,0.0443907193789104
219,219,219,219,19,NPE-RS (ours),0%,0.0004033455052067
220,220,220,220,20,NPE-RS (ours),0%,0.0005703548240248
